class_name,num_files,file_size_min_kb,file_size_max_kb,file_size_avg_kb,min_resolution,max_resolution,sample_files,min_resolution_str,max_resolution_str
apple,68,10.33,7554.87,678.39,"(250, 249)","(4900, 4965)","['Image_1.jpg', 'Image_10.jpg', 'Image_16.jpg']",250x249,4900x4965
banana,75,9.23,8574.86,541.47,"(200, 243)","(7360, 4912)","['Image_1.jpg', 'Image_100.jpg', 'Image_11.png']",200x243,7360x4912
beetroot,88,9.95,7351.73,481.88,"(225, 179)","(3456, 5184)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",225x179,3456x5184
bell pepper,90,13.31,6606.99,680.36,"(220, 147)","(5616, 3744)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",220x147,5616x3744
cabbage,92,16.44,7111.78,584.22,"(151, 157)","(4288, 3216)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",151x157,4288x3216
capsicum,89,11.62,3165.09,343.27,"(200, 300)","(4681, 3100)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.JPG']",200x300,4681x3100
carrot,82,17.71,9512.12,443.99,"(256, 256)","(3888, 2592)","['Image_1.jpg', 'Image_10.jpeg', 'Image_100.jpg']",256x256,3888x2592
cauliflower,79,8.67,4438.65,360.45,"(172, 189)","(4928, 3264)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",172x189,4928x3264
chilli pepper,87,17.53,1994.75,226.01,"(208, 208)","(5262, 3720)","['Image_1.jpg', 'Image_10.jpg', 'Image_11.jpg']",208x208,5262x3720
corn,87,15.34,8351.49,768.0,"(217, 315)","(3445, 5178)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",217x315,3445x5178
cucumber,94,5.47,6394.2,510.43,"(360, 224)","(6183, 4126)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",360x224,6183x4126
eggplant,84,12.53,3556.79,504.93,"(320, 240)","(5184, 3456)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",320x240,5184x3456
garlic,92,24.41,5534.17,477.93,"(264, 264)","(4752, 3168)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",264x264,4752x3168
ginger,68,6.86,7767.82,479.66,"(164, 180)","(6000, 4000)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",164x180,6000x4000
grapes,100,16.65,12641.51,843.25,"(356, 250)","(5760, 3840)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpeg']",356x250,5760x3840
jalepeno,88,12.62,6428.42,343.35,"(133, 200)","(4000, 6000)","['Image_1.jpeg', 'Image_10.jpg', 'Image_100.jpg']",133x200,4000x6000
kiwi,88,18.0,8337.94,508.09,"(300, 300)","(5616, 3744)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",300x300,5616x3744
lemon,82,10.92,14094.98,768.35,"(230, 234)","(7360, 4912)","['Image_1.png', 'Image_10.jpg', 'Image_100.png']",230x234,7360x4912
lettuce,97,17.49,4935.91,649.91,"(241, 241)","(5184, 3456)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpeg']",241x241,5184x3456
mango,86,26.37,6402.49,431.24,"(300, 400)","(5184, 3456)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",300x400,5184x3456
onion,94,4.69,8838.73,473.76,"(240, 240)","(6030, 4020)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",240x240,6030x4020
orange,69,15.75,8401.09,826.41,"(256, 256)","(5456, 3632)","['Image_1.png', 'Image_10.jpg', 'Image_100.jpg']",256x256,5456x3632
paprika,83,14.31,4912.29,335.64,"(220, 293)","(4608, 3456)","['Image_1.jpg', 'Image_10.jpeg', 'Image_100.jpg']",220x293,4608x3456
pear,89,4.67,8093.51,475.29,"(186, 250)","(3920, 5895)","['Image_1.jpg', 'Image_10.png', 'Image_100.jpg']",186x250,3920x5895
peas,100,18.75,3642.45,627.61,"(240, 216)","(3456, 5184)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",240x216,3456x5184
pineapple,99,21.74,8202.16,991.45,"(240, 320)","(4756, 5945)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",240x320,4756x5945
pomegranate,79,10.0,5746.18,728.07,"(256, 192)","(4422, 3038)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",256x192,4422x3038
potato,77,12.71,2636.75,363.33,"(160, 271)","(4000, 3000)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",160x271,4000x3000
raddish,81,7.84,3170.11,220.08,"(240, 160)","(4048, 2688)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",240x160,4048x2688
soy beans,97,16.78,2908.03,291.3,"(250, 188)","(5112, 3648)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",250x188,5112x3648
spinach,97,21.42,4545.97,649.23,"(300, 390)","(4272, 2848)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",300x390,4272x2848
sweetcorn,91,12.49,5470.88,394.0,"(200, 200)","(3872, 2592)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",200x200,3872x2592
sweetpotato,69,9.6,5086.45,404.59,"(300, 199)","(4608, 3072)","['Image_10.jpg', 'Image_100.jpg', 'Image_11.jpg']",300x199,4608x3072
tomato,92,18.07,4178.88,510.25,"(250, 250)","(3872, 2592)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",250x250,3872x2592
turnip,98,6.23,2678.25,297.28,"(200, 200)","(3529, 2612)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",200x200,3529x2612
watermelon,84,11.28,9417.9,695.96,"(267, 260)","(6238, 6240)","['Image_1.jpg', 'Image_10.jpg', 'Image_100.jpg']",267x260,6238x6240
